date,no. tweets,Select,no_tweets
2021-01-22,115.0,low-credibility,
2021-01-23,103.0,low-credibility,
2021-01-24,116.0,low-credibility,
2021-01-25,152.0,low-credibility,
2021-01-26,101.0,low-credibility,
2021-01-27,98.0,low-credibility,
2021-01-28,77.0,low-credibility,
2021-01-29,92.0,low-credibility,
2021-01-30,97.0,low-credibility,
2021-01-31,66.0,low-credibility,
2021-02-01,64.0,low-credibility,
2021-02-02,100.0,low-credibility,
2021-02-03,57.0,low-credibility,
2021-02-04,49.0,low-credibility,
2021-02-05,53.0,low-credibility,
2021-02-06,51.0,low-credibility,
2021-02-07,57.0,low-credibility,
2021-02-08,69.0,low-credibility,
2021-02-09,68.0,low-credibility,
2021-02-10,96.0,low-credibility,
2021-02-11,87.0,low-credibility,
2021-02-12,78.0,low-credibility,
2021-02-13,52.0,low-credibility,
2021-02-14,54.0,low-credibility,
2021-02-15,75.0,low-credibility,
2021-02-16,58.0,low-credibility,
2021-02-17,90.0,low-credibility,
2021-02-18,68.0,low-credibility,
2021-02-19,93.0,low-credibility,
2021-02-20,97.0,low-credibility,
2021-02-21,81.0,low-credibility,
2021-02-22,123.0,low-credibility,
2021-02-23,120.0,low-credibility,
2021-02-24,103.0,low-credibility,
2021-02-25,96.0,low-credibility,
2021-02-26,116.0,low-credibility,
2021-02-27,84.0,low-credibility,
2021-02-28,110.0,low-credibility,
2021-03-01,139.0,low-credibility,
2021-03-02,117.0,low-credibility,
2021-03-03,130.0,low-credibility,
2021-03-04,131.0,low-credibility,
2021-03-05,146.0,low-credibility,
2021-03-06,105.0,low-credibility,
2021-03-07,88.0,low-credibility,
2021-03-08,113.0,low-credibility,
2021-03-09,147.0,low-credibility,
2021-03-10,146.0,low-credibility,
2021-03-11,236.0,low-credibility,
2021-03-12,304.0,low-credibility,
2021-03-13,230.0,low-credibility,
2021-03-14,246.0,low-credibility,
2021-03-15,318.0,low-credibility,
2021-03-16,285.0,low-credibility,
2021-03-17,216.0,low-credibility,
2021-03-18,220.0,low-credibility,
2021-03-19,164.0,low-credibility,
2021-03-20,137.0,low-credibility,
2021-03-21,159.0,low-credibility,
2021-03-22,184.0,low-credibility,
2021-03-23,225.0,low-credibility,
2021-03-24,198.0,low-credibility,
2021-03-25,203.0,low-credibility,
2021-03-26,197.0,low-credibility,
2021-03-27,147.0,low-credibility,
2021-03-28,116.0,low-credibility,
2021-03-29,166.0,low-credibility,
2021-03-30,153.0,low-credibility,
2021-03-31,176.0,low-credibility,
2021-04-01,150.0,low-credibility,
2021-04-02,147.0,low-credibility,
2021-04-03,160.0,low-credibility,
2021-04-04,133.0,low-credibility,
2021-04-05,146.0,low-credibility,
2021-04-06,158.0,low-credibility,
2021-04-07,157.0,low-credibility,
2021-04-08,71.0,low-credibility,
2021-04-09,166.0,low-credibility,
2021-04-10,176.0,low-credibility,
2021-04-11,160.0,low-credibility,
2021-04-12,159.0,low-credibility,
2021-04-13,79.0,low-credibility,
2021-04-14,174.0,low-credibility,
2021-04-15,145.0,low-credibility,
2021-04-16,33.0,low-credibility,
2021-04-17,132.0,low-credibility,
2021-04-18,105.0,low-credibility,
2021-04-19,49.0,low-credibility,
2021-04-20,110.0,low-credibility,
2021-04-21,112.0,low-credibility,
2021-04-22,84.0,low-credibility,
2021-04-23,93.0,low-credibility,
2021-04-24,82.0,low-credibility,
2021-04-25,0.0,low-credibility,
2021-04-26,27.0,low-credibility,
2021-04-27,24.0,low-credibility,
2021-04-28,24.0,low-credibility,
2021-04-29,32.0,low-credibility,
2021-04-30,9.0,low-credibility,
2021-05-01,76.0,low-credibility,
2021-05-02,55.0,low-credibility,
2021-05-03,84.0,low-credibility,
2021-05-04,83.0,low-credibility,
2021-05-05,89.0,low-credibility,
2021-05-06,99.0,low-credibility,
2021-05-07,112.0,low-credibility,
2021-05-08,93.0,low-credibility,
2021-05-09,73.0,low-credibility,
2021-05-10,87.0,low-credibility,
2021-05-11,94.0,low-credibility,
2021-05-12,96.0,low-credibility,
2021-05-13,85.0,low-credibility,
2021-05-14,106.0,low-credibility,
2021-05-15,81.0,low-credibility,
2021-05-16,79.0,low-credibility,
2021-05-17,98.0,low-credibility,
2021-05-18,100.0,low-credibility,
2021-05-19,98.0,low-credibility,
2021-05-20,105.0,low-credibility,
2021-05-21,76.0,low-credibility,
2021-05-22,91.0,low-credibility,
2021-05-23,68.0,low-credibility,
2021-05-24,86.0,low-credibility,
2021-05-25,87.0,low-credibility,
2021-05-26,111.0,low-credibility,
2021-05-27,136.0,low-credibility,
2021-05-28,127.0,low-credibility,
2021-05-29,95.0,low-credibility,
2021-05-30,89.0,low-credibility,
2021-05-31,107.0,low-credibility,
2021-06-01,137.0,low-credibility,
2021-06-02,136.0,low-credibility,
2021-06-03,41.0,low-credibility,
2021-06-04,41.0,low-credibility,
2021-06-05,112.0,low-credibility,
2021-06-06,112.0,low-credibility,
2021-06-07,122.0,low-credibility,
2021-06-08,97.0,low-credibility,
2021-06-09,30.0,low-credibility,
2021-06-10,156.0,low-credibility,
2021-01-01,562.0,high-credibility,
2021-01-02,770.0,high-credibility,
2021-01-03,866.0,high-credibility,
2021-01-04,789.0,high-credibility,
2021-01-05,816.0,high-credibility,
2021-01-06,743.0,high-credibility,
2021-01-07,584.0,high-credibility,
2021-01-08,627.0,high-credibility,
2021-01-09,511.0,high-credibility,
2021-01-10,491.0,high-credibility,
2021-01-11,482.0,high-credibility,
2021-01-12,688.0,high-credibility,
2021-01-13,519.0,high-credibility,
2021-01-14,468.0,high-credibility,
2021-01-15,510.0,high-credibility,
2021-01-16,509.0,high-credibility,
2021-01-17,480.0,high-credibility,
2021-01-18,558.0,high-credibility,
2021-01-19,572.0,high-credibility,
2021-01-20,534.0,high-credibility,
2021-01-21,536.0,high-credibility,
2021-01-22,526.0,high-credibility,
2021-01-23,484.0,high-credibility,
2021-01-24,557.0,high-credibility,
2021-01-25,598.0,high-credibility,
2021-01-26,571.0,high-credibility,
2021-01-27,595.0,high-credibility,
2021-01-28,512.0,high-credibility,
2021-01-29,595.0,high-credibility,
2021-01-30,478.0,high-credibility,
2021-01-31,375.0,high-credibility,
2021-02-01,628.0,high-credibility,
2021-02-02,741.0,high-credibility,
2021-02-03,510.0,high-credibility,
2021-02-04,451.0,high-credibility,
2021-02-05,390.0,high-credibility,
2021-02-06,307.0,high-credibility,
2021-02-07,309.0,high-credibility,
2021-02-08,493.0,high-credibility,
2021-02-09,531.0,high-credibility,
2021-02-10,510.0,high-credibility,
2021-02-11,429.0,high-credibility,
2021-02-12,413.0,high-credibility,
2021-02-13,236.0,high-credibility,
