region,fornitore,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,population,no_tweets,no_lowcred_tweets,no_highcred_tweets,frac_low,frac_high,no_accounts,modified_acceptance,hesitant_sideeffects
Molise,Pfizer/BioNTech,67826,79778,99482,48122,300516,13.670454545454545,0.09659090909090909,0.8011363636363636,0.006591568452669601,0.09893462472925602,352,90.16914739592629,8.697230232558137
Molise,Vaxzevria (AstraZeneca),18467,22804,34127,7144,300516,13.670454545454545,0.09659090909090909,0.8011363636363636,0.006591568452669601,0.09893462472925602,352,90.16914739592629,8.697230232558137
Piemonte,Janssen,22324,23661,45985,0,4311217,14.915551282999335,0.4252754566294461,1.2180729128152037,0.010369155926737513,0.07784519466679823,13523,87.16088596698756,14.4292602189781
Piemonte,Moderna,116556,143522,166949,93129,4311217,14.915551282999335,0.4252754566294461,1.2180729128152037,0.010369155926737513,0.07784519466679823,13523,87.16088596698756,14.4292602189781
Piemonte,Pfizer/BioNTech,873360,1123092,1241881,754571,4311217,14.915551282999335,0.4252754566294461,1.2180729128152037,0.010369155926737513,0.07784519466679823,13523,87.16088596698756,14.4292602189781
Piemonte,Vaxzevria (AstraZeneca),214823,272182,416178,70827,4311217,14.915551282999335,0.4252754566294461,1.2180729128152037,0.010369155926737513,0.07784519466679823,13523,87.16088596698756,14.4292602189781
Puglia,Janssen,50768,39336,90104,0,3953305,15.748526018969494,0.31145860035888234,1.1904639835939503,0.004153995473772048,0.055852769468198074,3901,89.35843224575656,10.998954444444442
Puglia,Moderna,94213,132962,150171,77004,3953305,15.748526018969494,0.31145860035888234,1.1904639835939503,0.004153995473772048,0.055852769468198074,3901,89.35843224575656,10.998954444444442
Puglia,Pfizer/BioNTech,809309,972957,1152632,629634,3953305,15.748526018969494,0.31145860035888234,1.1904639835939503,0.004153995473772048,0.055852769468198074,3901,89.35843224575656,10.998954444444442
Puglia,Vaxzevria (AstraZeneca),248224,320530,444832,123922,3953305,15.748526018969494,0.31145860035888234,1.1904639835939503,0.004153995473772048,0.055852769468198074,3901,89.35843224575656,10.998954444444442
Sardegna,Janssen,5080,4653,9733,0,1611621,17.430831265508687,0.38182382133995035,1.1581885856079404,0.0077789725966907666,0.06037380612932251,3224,88.76114313544639,10.674929699248118
Sardegna,Moderna,50416,62222,77000,35638,1611621,17.430831265508687,0.38182382133995035,1.1581885856079404,0.0077789725966907666,0.06037380612932251,3224,88.76114313544639,10.674929699248118
Sardegna,Pfizer/BioNTech,304572,379359,452873,231058,1611621,17.430831265508687,0.38182382133995035,1.1581885856079404,0.0077789725966907666,0.06037380612932251,3224,88.76114313544639,10.674929699248118
Sardegna,Vaxzevria (AstraZeneca),99415,108073,184808,22680,1611621,17.430831265508687,0.38182382133995035,1.1581885856079404,0.0077789725966907666,0.06037380612932251,3224,88.76114313544639,10.674929699248118
Sicilia,Janssen,50321,35295,85616,0,4875290,26.892931513188337,0.5688338732068486,2.0035284590467377,0.006980726711576302,0.056201680416219625,17288,87.96512019605578,16.05983540145985
Sicilia,Moderna,128848,167221,207931,88138,4875290,26.892931513188337,0.5688338732068486,2.0035284590467377,0.006980726711576302,0.056201680416219625,17288,87.96512019605578,16.05983540145985
Sicilia,Pfizer/BioNTech,995257,1142824,1364846,773235,4875290,26.892931513188337,0.5688338732068486,2.0035284590467377,0.006980726711576302,0.056201680416219625,17288,87.96512019605578,16.05983540145985
Sicilia,Vaxzevria (AstraZeneca),213947,220564,317703,116808,4875290,26.892931513188337,0.5688338732068486,2.0035284590467377,0.006980726711576302,0.056201680416219625,17288,87.96512019605578,16.05983540145985
Toscana,Janssen,22665,24752,47417,0,3692555,20.573194221508828,0.43579454253611555,1.5231139646869984,0.007054222477097073,0.05522722214280545,6230,88.37707575431494,12.442518978102195
Toscana,Moderna,122891,112130,148198,86823,3692555,20.573194221508828,0.43579454253611555,1.5231139646869984,0.007054222477097073,0.05522722214280545,6230,88.37707575431494,12.442518978102195
Toscana,Pfizer/BioNTech,693124,934474,1045428,582170,3692555,20.573194221508828,0.43579454253611555,1.5231139646869984,0.007054222477097073,0.05522722214280545,6230,88.37707575431494,12.442518978102195
Toscana,Vaxzevria (AstraZeneca),200601,258163,363108,95656,3692555,20.573194221508828,0.43579454253611555,1.5231139646869984,0.007054222477097073,0.05522722214280545,6230,88.37707575431494,12.442518978102195
Umbria,Janssen,7173,7623,14796,0,870165,30.04829770387965,0.8701504354711006,1.613618368962787,0.006886239921908269,0.04715839098622248,1263,89.42715078618933,9.308254545454545
Umbria,Moderna,20150,34954,36702,18402,870165,30.04829770387965,0.8701504354711006,1.613618368962787,0.006886239921908269,0.04715839098622248,1263,89.42715078618933,9.308254545454545
Umbria,Pfizer/BioNTech,175198,212306,260945,126559,870165,30.04829770387965,0.8701504354711006,1.613618368962787,0.006886239921908269,0.04715839098622248,1263,89.42715078618933,9.308254545454545
Umbria,Vaxzevria (AstraZeneca),52696,72215,98677,26234,870165,30.04829770387965,0.8701504354711006,1.613618368962787,0.006886239921908269,0.04715839098622248,1263,89.42715078618933,9.308254545454545
Valle d'Aosta,Janssen,420,467,887,0,125034,10.743951612903226,0.17943548387096775,0.8568548387096774,0.007830829962460668,0.0799525888317703,496,84.20415822584226,18.1578
Valle d'Aosta,Moderna,2237,4183,3853,2567,125034,10.743951612903226,0.17943548387096775,0.8568548387096774,0.007830829962460668,0.0799525888317703,496,84.20415822584226,18.1578
Valle d'Aosta,Pfizer/BioNTech,28143,31778,36935,22986,125034,10.743951612903226,0.17943548387096775,0.8568548387096774,0.007830829962460668,0.0799525888317703,496,84.20415822584226,18.1578
Valle d'Aosta,Vaxzevria (AstraZeneca),7130,7424,12419,2135,125034,10.743951612903226,0.17943548387096775,0.8568548387096774,0.007830829962460668,0.0799525888317703,496,84.20415822584226,18.1578
Veneto,Janssen,25366,24969,50335,0,4879133,16.500910036401457,0.4595683827353094,1.1337753510140405,0.00823103786091585,0.05406955194375872,7692,85.94310206233767,15.654301824817525
Veneto,Moderna,132276,165772,193622,104426,4879133,16.500910036401457,0.4595683827353094,1.1337753510140405,0.00823103786091585,0.05406955194375872,7692,85.94310206233767,15.654301824817525
Veneto,Pfizer/BioNTech,986776,1220626,1421101,786301,4879133,16.500910036401457,0.4595683827353094,1.1337753510140405,0.00823103786091585,0.05406955194375872,7692,85.94310206233767,15.654301824817525
Veneto,Vaxzevria (AstraZeneca),261661,321923,495422,88162,4879133,16.500910036401457,0.4595683827353094,1.1337753510140405,0.00823103786091585,0.05406955194375872,7692,85.94310206233767,15.654301824817525
Trentino-Alto Adige,Janssen,2975,2116,5091,0,1078069,10.818181818181818,0.17808683853459972,0.7191316146540027,0.00980016243858935,0.07308004775135837,2948,81.5380052188761,18.591364285714285
Trentino-Alto Adige,Moderna,29138,29378,46091,12425,1078069,10.818181818181818,0.17808683853459972,0.7191316146540027,0.00980016243858935,0.07308004775135837,2948,81.5380052188761,18.591364285714285
Trentino-Alto Adige,Pfizer/BioNTech,223457,272349,327096,168710,1078069,10.818181818181818,0.17808683853459972,0.7191316146540027,0.00980016243858935,0.07308004775135837,2948,81.5380052188761,18.591364285714285
Trentino-Alto Adige,Vaxzevria (AstraZeneca),58235,68302,96623,29914,1078069,10.818181818181818,0.17808683853459972,0.7191316146540027,0.00980016243858935,0.07308004775135837,2948,81.5380052188761,18.591364285714285
